id;duration;nb_steps;mean_train;max_train;min_train;mean_test_agent;max_test_agent;min_test_agent;mean_test_own;max_test_own;min_test_own;break_counter;n;windows_length;adam_learning_rate;adam_epsilon;batch_size;target_model_update;dueling_option;activation;layers;unit_1;unit_2;unit_3
1;639.294554;50000;-49.19180370018445;-36.64;-78.5;-47.984700000000004;-47.23;-50.0;17.4;26;8;100;100;1;0.05;0.1;32;400;avg;linear;3;96;80;64
2;757.58248;50000;-46.73947222989777;-34.04;-77.0;-42.343100000000014;-34.46;-46.35;16.144749290444654;60;0;100;100;1;0.0005;0.001;32;100;avg;linear;3;96;80;64
