Categories;Prop5Dice;Prop4Dice;Prop3Dice;Prop2Dice;Prop1Dice;Slash
ONES;10;4;2;1;0.4;-20
TWOS;14.14213562;5.656854249;2.828427125;1.414213562;0.565685425;-14
THREES;17.32050808;6.92820323;3.464101615;1.732050808;0.692820323;-17
FOURS;20;8;4;2;0.8;-20
FIVES;22.36067977;8.94427191;4.472135955;2.236067977;0.894427191;-22
SIXES;24.49489743;9.797958971;4.898979486;2.449489743;0.979795897;-24
THREE_TIMES;24.49489743;7.745966692;4.472135955;0;0;-24
FOUR_TIMES;24.49489743;7.745966692;0;0;0;-24
FULL_HOUSE;22.36067977;0;0;0;0;-22
SMALL_STREET;24.49489743;10.95445115;0;0;0;-24
LARGE_STREET;28.28427125;0;0;0;0;-28
KNIFFEL;31.6227766;0;0;0;0;-31
CHANCE;24.49489743;10;5.163977795;2.738612788;1.264911064;-24
