duration;nb_steps;mean_train;max_train;min_train;mean_test_agent;max_test_agent;min_test_agent;mean_test_own;max_test_own;min_test_own;break_counter;n;windows_length;adam_learning_rate;adam_epsilon;batch_size;target_model_update;dueling_option;activation;layers;unit_1;unit_2;unit_3
195.072862;20000;-42.412391374316066;-32.43333333333334;-81.03333333333333;-37.06066666666667;-33.43333333333334;-39.5;13.176274944567627;29;0;100;100;1;0.0006000000000000001;1e-05;32;0.0011;avg;linear;3;32;16;16
190.920899;20000;-40.05969238928666;-30.833333333333336;-73.93333333333334;-36.755;-34.03333333333333;-39.0;14.000981354268891;29;0;100;100;1;0.0076;1e-05;32;0.0031;avg;linear;3;32;16;16
194.013487;20000;-44.835051248736825;-28.9;-74.0;-37.44000000000001;-31.366666666666667;-54.0;18.373370577281193;52;0;100;100;1;0.0016;0.001;32;0.0006000000000000001;avg;linear;3;32;16;16
201.315015;20000;-39.25814911952042;-30.03333333333333;-65.5;-36.51266666666667;-33.43333333333334;-39.0;17.574789915966388;58;0;100;100;1;0.0041;0.1;32;0.0091;avg;linear;3;32;16;16
210.306146;20000;-38.92574969021066;-30.633333333333333;-64.8;-36.44733333333333;-33.8;-39.0;18.16267123287671;52;0;100;100;1;0.0061;0.001;32;0.006600000000000001;avg;linear;3;32;16;16
211.047513;20000;-38.80302359882006;-30.9;-64.4;-36.06633333333334;-29.96666666666667;-37.7;18.391425908667287;62;0;100;100;1;0.0026;0.001;32;0.0071;avg;linear;3;32;16;16
217.828137;20000;-39.068181319284385;-31.766666666666666;-65.0;-37.288999999999994;-33.5;-39.5;13.490888382687928;59;0;100;100;1;0.0071;0.01;32;0.004600000000000001;avg;linear;3;32;16;16
226.639293;20000;-39.29135369135369;-28.6;-66.5;-36.80766666666667;-31.366666666666667;-39.0;15.121004566210045;34;0;100;100;1;0.0081;0.0001;32;0.0081;avg;linear;3;32;16;16
227.320705;20000;-39.23491039426523;-30.666666666666668;-67.0;-37.15966666666667;-34.86666666666667;-39.5;14.405017921146953;41;0;100;100;1;0.0041;1e-05;32;0.0071;avg;linear;3;32;16;16
230.387604;20000;-39.25463940193492;-31.633333333333333;-69.23333333333333;-37.150666666666666;-32.43333333333334;-38.0;16.695371367061355;41;0;100;100;1;0.0006000000000000001;0.001;32;0.0071;avg;linear;3;32;16;16
231.417734;20000;-40.79618659755646;-32.6;-73.43333333333334;-36.599666666666664;-33.46666666666667;-39.5;15.498575498575498;31;0;100;100;1;0.0051;0.01;32;0.0021;avg;linear;3;32;16;16
237.362551;20000;-40.324910194475414;-31.366666666666667;-67.5;-37.17266666666667;-33.9;-39.0;13.320459290187891;47;0;100;100;1;0.0026;0.01;32;0.0016;avg;linear;3;32;16;16
242.160893;20000;-39.52320148045339;-31.266666666666666;-59.0;-36.63;-33.93333333333334;-39.0;16.108061749571185;39;0;100;100;1;0.0041;0.001;32;0.0061;avg;linear;3;32;16;16
243.12062;20000;-39.6065332326284;-30.866666666666667;-66.5;-36.469666666666654;-32.766666666666666;-37.266666666666666;16.63576779026217;37;0;100;100;1;0.0091;0.01;32;0.0086;avg;linear;3;32;16;16
259.056182;20000;-39.88882133333333;-30.766666666666666;-66.0;-36.54266666666667;-31.46666666666667;-39.0;16.28957528957529;40;0;100;100;1;0.0036;0.0001;32;0.0061;avg;linear;3;32;16;16
256.699903;20000;-38.983450747744406;-31.5;-66.0;-36.647666666666666;-33.36666666666667;-39.0;15.593043478260869;44;0;100;100;1;0.0026;0.001;32;0.0086;avg;linear;3;32;16;16
260.135193;20000;-39.63603727994477;-29.266666666666666;-75.0;-36.56300000000001;-32.46666666666667;-39.5;14.785854616895874;35;0;100;100;1;0.0021;0.001;32;0.0081;avg;linear;3;32;16;16
263.584401;20000;-39.2841020384922;-29.866666666666667;-66.0;-37.476000000000006;-35.53333333333333;-38.166666666666664;17.851807228915664;31;0;100;100;1;0.0091;0.0001;32;0.0096;avg;linear;3;32;16;16
270.513079;20000;-40.116984126984136;-31.366666666666667;-72.8;-36.449000000000005;-31.7;-39.0;19.047504025764894;44;0;100;100;1;0.0061;0.01;32;0.0031;avg;linear;3;32;16;16
275.668976;20000;-40.96816360952984;-32.2;-72.9;-47.19366666666665;-36.8;-63.36666666666667;13.265139116202946;27;0;100;100;1;0.0021;0.01;32;0.0056;avg;linear;3;32;16;16
276.738589;20000;-39.265257707129095;-31.5;-63.6;-36.216666666666676;-33.6;-38.5;18.067340067340066;48;0;100;100;1;0.0026;0.001;32;0.0091;avg;linear;3;32;16;16
278.694044;20000;-39.07374971713057;-29.133333333333333;-67.5;-35.99700000000001;-28.933333333333334;-39.0;14.459641255605382;54;0;100;100;1;0.0071;0.001;32;0.0081;avg;linear;3;32;16;16
282.376254;20000;-40.91392761066275;-30.866666666666667;-74.33333333333334;-37.50666666666667;-34.0;-39.5;11.13076923076923;45;0;100;100;1;0.0026;1e-05;32;0.0016;avg;linear;3;32;16;16
289.376652;20000;-39.59499289772727;-31.633333333333333;-67.5;-36.651666666666664;-34.2;-39.0;16.89612676056338;45;0;100;100;1;0.0061;0.1;32;0.0091;avg;linear;3;32;16;16
292.76915;20000;-40.77774428535544;-30.03333333333333;-64.83333333333334;-36.903;-33.63333333333333;-45.9;20.20259019426457;62;0;100;100;1;0.0016;0.001;32;0.0011;avg;linear;3;32;16;16
297.318116;20000;-40.42598913886734;-31.266666666666666;-73.13333333333333;-36.67133333333334;-32.53333333333333;-39.0;16.108695652173914;61;0;100;100;1;0.0081;0.001;32;0.0011;avg;linear;3;32;16;16
297.9916;20000;-39.71706834754665;-32.03333333333333;-73.0;-36.92166666666667;-35.6;-37.233333333333334;12.964887640449438;43;0;100;100;1;0.0081;1e-05;32;0.006600000000000001;avg;linear;3;32;16;16
308.162227;20000;-39.505782192266764;-31.833333333333332;-66.66666666666667;-36.968;-30.933333333333334;-39.0;17.267619047619046;44;0;100;100;1;0.006600000000000001;0.1;32;0.0026;avg;linear;3;32;16;16
308.455739;20000;-44.55915450121654;-33.36666666666667;-80.2;-46.638000000000005;-36.7;-61.4;19;46;0;100;100;1;0.0081;1e-05;32;0.0001;avg;linear;3;32;16;16
316.581574;20000;-39.01720720720721;-30.0;-66.5;-36.582;-34.5;-39.0;14.63262910798122;47;0;100;100;1;0.0061;0.001;32;0.0096;avg;linear;3;32;16;16
324.670776;20000;-40.266678074378284;-28.96666666666667;-62.8;-36.52133333333334;-32.96666666666667;-37.266666666666666;16.904761904761905;44;0;100;100;1;0.0036;0.0001;32;0.0076;avg;linear;3;32;16;16
326.177429;20000;-39.50787478601125;-30.333333333333336;-72.46666666666667;-36.96666666666667;-31.46666666666667;-39.0;11.289002557544757;43;0;100;100;1;0.006600000000000001;0.01;32;0.0061;avg;linear;3;32;16;16
335.545769;20000;-39.96259576901086;-32.266666666666666;-66.5;-36.86333333333334;-33.9;-39.0;14.128486055776893;32;0;100;100;1;0.0036;0.1;32;0.0026;avg;linear;3;32;16;16
337.357973;20000;-38.78241812974723;-28.46666666666667;-63.93333333333334;-36.52366666666667;-34.1;-37.233333333333334;16.536706349206348;46;0;100;100;1;0.0071;0.0001;32;0.004600000000000001;avg;linear;3;32;16;16
338.186704;20000;-42.583272903069854;-32.333333333333336;-71.4;-44.412;-34.46666666666667;-62.4;17.771905424200277;40;0;100;100;1;0.0081;0.001;32;0.0001;avg;linear;3;32;16;16
353.276503;20000;-39.196868296868296;-29.833333333333336;-63.2;-36.426;-31.7;-37.2;17.091543156059284;49;0;100;100;1;0.0011;0.0001;32;0.0041;avg;linear;3;32;16;16
354.403675;20000;-40.06139347734011;-30.833333333333336;-68.0;-38.050666666666665;-35.2;-40.0;14.730250481695569;49;0;100;100;1;0.0056;0.001;32;0.0026;avg;linear;3;32;16;16
360.225511;20000;-42.424422187981506;-32.4;-82.5;-37.95066666666666;-31.96666666666667;-40.5;11.557271557271557;39;0;100;100;1;0.004600000000000001;0.001;32;0.0011;avg;linear;3;32;16;16
356.303397;20000;-40.57614974587827;-30.566666666666666;-71.36666666666667;-36.71666666666667;-34.233333333333334;-37.2;15.932509505703422;41;0;100;100;1;0.0096;0.01;32;0.0016;avg;linear;3;32;16;16
362.321545;20000;-41.694332648870635;-31.733333333333334;-80.76666666666667;-37.72366666666667;-33.9;-39.0;8.103120759837179;30;0;100;100;1;0.0061;0.1;32;0.0011;avg;linear;3;32;16;16
376.478967;20000;-39.96767550702028;-32.43333333333334;-66.5;-36.629666666666665;-33.5;-37.53333333333333;17.053140096618357;46;0;100;100;1;0.0011;1e-05;32;0.0051;avg;linear;3;32;16;16
377.411077;20000;-39.73673312883436;-31.53333333333333;-67.0;-36.55566666666667;-33.13333333333333;-37.233333333333334;14.993110236220472;28;0;100;100;1;0.0091;0.01;32;0.0021;avg;linear;3;32;16;16
384.385057;20000;-40.217981542125635;-30.266666666666666;-67.0;-36.73966666666667;-33.36666666666667;-39.0;12.890219560878243;32;0;100;100;1;0.0021;0.01;32;0.0036;avg;linear;3;32;16;16
384.558318;20000;-39.72103746397695;-31.2;-75.03333333333333;-36.93633333333334;-34.3;-39.0;15.003351955307263;37;0;100;100;1;0.0041;0.001;32;0.0031;avg;linear;3;32;16;16
390.077084;20000;-38.761840665353475;-30.833333333333332;-62.833333333333336;-37.534666666666666;-34.36666666666667;-39.0;11.765339074273411;33;0;100;100;1;0.0006000000000000001;0.01;32;0.0086;avg;linear;3;32;16;16
388.871275;20000;-39.82974446337308;-29.8;-72.03333333333333;-36.49933333333333;-33.166666666666664;-37.4;17.922338568935427;44;0;100;100;1;0.0016;0.1;32;0.0016;avg;linear;3;32;16;16
404.825373;20000;-39.452650588372364;-29.833333333333336;-84.5;-36.58500000000001;-33.3;-39.0;16.677777777777777;42;0;100;100;1;0.0011;0.01;32;0.0041;avg;linear;3;32;16;16
395.73616;20000;-40.166040100250626;-32.233333333333334;-80.3;-36.63966666666667;-31.866666666666667;-39.0;16.545780969479353;51;0;100;100;1;0.0021;0.001;32;0.0021;avg;linear;3;32;16;16
405.424848;20000;-39.95223048327138;-30.766666666666666;-73.76666666666667;-36.25933333333333;-31.96666666666667;-39.0;18.1328125;49;0;100;100;1;0.0036;0.01;32;0.0021;avg;linear;3;32;16;16
410.872555;20000;-38.9177490689013;-30.866666666666667;-64.66666666666667;-36.755;-34.43333333333334;-37.166666666666664;13.951716738197424;26;0;100;100;1;0.0081;0.001;32;0.0091;avg;linear;3;32;16;16
423.338335;20000;-39.50992253360674;-32.06666666666666;-63.93333333333334;-36.542;-34.13333333333333;-37.166666666666664;16.748;43;0;100;100;1;0.0006000000000000001;0.01;32;0.0091;avg;linear;3;32;16;16
423.410171;20000;-39.34589658151302;-31.333333333333336;-71.3;-36.23800000000001;-31.9;-37.233333333333334;16.989082969432314;58;0;100;100;1;0.0026;0.1;32;0.0071;avg;linear;3;32;16;16
422.781905;20000;-41.509409949865024;-32.333333333333336;-73.0;-37.268666666666675;-34.4;-40.0;17.884536082474227;34;0;100;100;1;0.006600000000000001;1e-05;32;0.0011;avg;linear;3;32;16;16
422.705987;20000;-42.84911897480705;-33.333333333333336;-74.5;-42.729;-34.266666666666666;-47.0;15.549242424242424;45;0;100;100;1;0.0081;0.01;32;0.0006000000000000001;avg;linear;3;32;16;16
436.697178;20000;-39.96473872734935;-29.933333333333334;-64.63333333333333;-36.613;-30.566666666666666;-39.0;16.377967711301043;61;0;100;100;1;0.0031;0.001;32;0.0076;avg;linear;3;32;16;16
434.610034;20000;-39.51819196428571;-31.9;-64.5;-36.675666666666665;-33.766666666666666;-37.233333333333334;15.193308550185874;37;0;100;100;1;0.0006000000000000001;0.01;32;0.0016;avg;linear;3;32;16;16
443.897699;20000;-39.152581018518525;-31.3;-65.0;-36.88766666666666;-34.0;-39.0;14.29696394686907;41;0;100;100;1;0.0016;0.01;32;0.0071;avg;linear;3;32;16;16
